"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3879","test_dashboard_links_visible","tests","Wed Sep 03 12:19:00 IST 2025","passed","Wed Sep 03 12:19:04 IST 2025","TestDashboard","test_dashboard","",""
"","16937","test_request_quotation_success","tests","Wed Sep 03 12:21:25 IST 2025","passed","Wed Sep 03 12:21:42 IST 2025","TestRequestQuotation","test_request_quotation","",""
"","13596","test_verify_navigation_links","tests","Wed Sep 03 12:19:04 IST 2025","passed","Wed Sep 03 12:19:18 IST 2025","TestDashboard","test_dashboard","",""
"","12295","test_successful_logout","tests","Wed Sep 03 12:19:57 IST 2025","passed","Wed Sep 03 12:20:09 IST 2025","TestLogout","test_logout","",""
"","8456","test_request_quotation_with_missing_fields","tests","Wed Sep 03 12:21:42 IST 2025","failed","Wed Sep 03 12:21:51 IST 2025","TestRequestQuotation","test_request_quotation","",""
"","7539","test_request_quotation_validation","tests","Wed Sep 03 12:21:51 IST 2025","failed","Wed Sep 03 12:21:58 IST 2025","TestRequestQuotation","test_request_quotation","",""
"","8265","test_logout_and_session_expiry","tests","Wed Sep 03 12:20:09 IST 2025","passed","Wed Sep 03 12:20:17 IST 2025","TestLogout","test_logout","",""
"","4029","test_login_invalid_credentials","tests","Wed Sep 03 12:19:26 IST 2025","passed","Wed Sep 03 12:19:30 IST 2025","TestLogin","test_login","",""
"","8102","test_update_profile_with_missing_field","tests","Wed Sep 03 12:20:37 IST 2025","passed","Wed Sep 03 12:20:45 IST 2025","Test15","test_profile","",""
"","4108","test_retrieve_quotation_empyt_field","tests","Wed Sep 03 12:22:15 IST 2025","passed","Wed Sep 03 12:22:19 IST 2025","TestRetrieveQuotation","test_retrieve_quotation","",""
"","21502","test_login_empty_credentials","tests","Wed Sep 03 12:19:30 IST 2025","broken","Wed Sep 03 12:19:52 IST 2025","TestLogin","test_login","",""
"","5736","test_retrieve_quotation_valid_id","tests","Wed Sep 03 12:22:05 IST 2025","passed","Wed Sep 03 12:22:11 IST 2025","TestRetrieveQuotation","test_retrieve_quotation","",""
"","10771","test_registration_with_invalid_email_format","tests","Wed Sep 03 12:21:07 IST 2025","passed","Wed Sep 03 12:21:17 IST 2025","TestRegistration","test_registration","",""
"","11630","test_successful_registration","tests","Wed Sep 03 12:20:52 IST 2025","passed","Wed Sep 03 12:21:03 IST 2025","TestRegistration","test_registration","",""
"","2359","test_login_success","tests","Wed Sep 03 12:19:24 IST 2025","passed","Wed Sep 03 12:19:26 IST 2025","TestLogin","test_login","",""
"","3282","test_registration_with_missing_field","tests","Wed Sep 03 12:21:03 IST 2025","failed","Wed Sep 03 12:21:07 IST 2025","TestRegistration","test_registration","",""
"","8237","test_update_profile_with_valid_data","tests","Wed Sep 03 12:20:29 IST 2025","passed","Wed Sep 03 12:20:37 IST 2025","Test15","test_profile","",""
"","3905","test_retrieve_quotation_invalid_id","tests","Wed Sep 03 12:22:11 IST 2025","passed","Wed Sep 03 12:22:15 IST 2025","TestRetrieveQuotation","test_retrieve_quotation","",""
